# written by /home/mroughan/Reports/Networking/Topology/Waxman/Matlab/Estimation/G.m (Matlab version 0.03)
# written on 01-Jun-2016
# 
# parameters 
#    region = unit square
# format:   s,   G(s)
 0.365,  0.830072
 0.366,  0.829658
 0.367,  0.829244
 0.368,  0.828830
 0.369,  0.828417
 0.370,  0.828003
 0.371,  0.827590
 0.372,  0.827178
 0.373,  0.826765
 0.374,  0.826353
 0.375,  0.825941
 0.376,  0.825530
 0.377,  0.825118
 0.378,  0.824707
 0.379,  0.824296
 0.380,  0.823885
 0.381,  0.823475
 0.382,  0.823065
 0.383,  0.822655
 0.384,  0.822245
 0.385,  0.821836
 0.386,  0.821427
 0.387,  0.821018
 0.388,  0.820609
 0.389,  0.820201
 0.390,  0.819793
 0.391,  0.819385
 0.392,  0.818977
 0.393,  0.818570
 0.394,  0.818163
 0.395,  0.817756
 0.396,  0.817350
 0.397,  0.816943
 0.398,  0.816537
 0.399,  0.816131
 0.400,  0.815726
 0.401,  0.815320
 0.402,  0.814915
 0.403,  0.814510
 0.404,  0.814106
 0.405,  0.813701
 0.406,  0.813297
 0.407,  0.812893
 0.408,  0.812490
 0.409,  0.812087
 0.410,  0.811683
 0.411,  0.811281
 0.412,  0.810878
 0.413,  0.810476
 0.414,  0.810074
 0.415,  0.809672
 0.416,  0.809270
 0.417,  0.808869
 0.418,  0.808468
 0.419,  0.808067
 0.420,  0.807666
 0.421,  0.807266
 0.422,  0.806866
 0.423,  0.806466
 0.424,  0.806066
 0.425,  0.805667
 0.426,  0.805268
 0.427,  0.804869
 0.428,  0.804470
 0.429,  0.804072
 0.430,  0.803673
 0.431,  0.803276
 0.432,  0.802878
 0.433,  0.802480
 0.434,  0.802083
 0.435,  0.801686
 0.436,  0.801290
 0.437,  0.800893
 0.438,  0.800497
 0.439,  0.800101
 0.440,  0.799705
 0.441,  0.799310
 0.442,  0.798915
 0.443,  0.798520
 0.444,  0.798125
 0.445,  0.797730
 0.446,  0.797336
 0.447,  0.796942
 0.448,  0.796548
 0.449,  0.796155
 0.450,  0.795762
 0.451,  0.795369
 0.452,  0.794976
 0.453,  0.794583
 0.454,  0.794191
 0.455,  0.793799
 0.456,  0.793407
 0.457,  0.793015
 0.458,  0.792624
 0.459,  0.792233
 0.460,  0.791842
 0.461,  0.791452
 0.462,  0.791061
 0.463,  0.790671
 0.464,  0.790281
 0.465,  0.789891
 0.466,  0.789502
 0.467,  0.789113
 0.468,  0.788724
 0.469,  0.788335
 0.470,  0.787947
 0.471,  0.787558
 0.472,  0.787170
 0.473,  0.786783
 0.474,  0.786395
 0.475,  0.786008
 0.476,  0.785621
 0.477,  0.785234
 0.478,  0.784847
 0.479,  0.784461
 0.480,  0.784075
 0.481,  0.783689
 0.482,  0.783304
 0.483,  0.782918
 0.484,  0.782533
 0.485,  0.782148
 0.486,  0.781763
 0.487,  0.781379
 0.488,  0.780995
 0.489,  0.780611
 0.490,  0.780227
 0.491,  0.779844
 0.492,  0.779460
 0.493,  0.779077
 0.494,  0.778695
 0.495,  0.778312
 0.496,  0.777930
 0.497,  0.777548
 0.498,  0.777166
 0.499,  0.776784
 0.500,  0.776403
 0.501,  0.776022
 0.502,  0.775641
 0.503,  0.775260
 0.504,  0.774879
 0.505,  0.774499
 0.506,  0.774119
 0.507,  0.773740
 0.508,  0.773360
 0.509,  0.772981
 0.510,  0.772602
 0.511,  0.772223
 0.512,  0.771844
 0.513,  0.771466
 0.514,  0.771088
 0.515,  0.770710
 0.516,  0.770332
 0.517,  0.769955
 0.518,  0.769578
 0.519,  0.769201
 0.520,  0.768824
 0.521,  0.768447
 0.522,  0.768071
 0.523,  0.767695
 0.524,  0.767319
 0.525,  0.766944
 0.526,  0.766568
 0.527,  0.766193
 0.528,  0.765818
 0.529,  0.765443
 0.530,  0.765069
 0.531,  0.764695
 0.532,  0.764321
 0.533,  0.763947
 0.534,  0.763573
 0.535,  0.763200
 0.536,  0.762827
 0.537,  0.762454
 0.538,  0.762082
 0.539,  0.761709
 0.540,  0.761337
 0.541,  0.760965
 0.542,  0.760593
 0.543,  0.760222
 0.544,  0.759851
 0.545,  0.759480
 0.546,  0.759109
 0.547,  0.758738
 0.548,  0.758368
 0.549,  0.757998
 0.550,  0.757628
 0.551,  0.757258
 0.552,  0.756889
 0.553,  0.756519
 0.554,  0.756150
 0.555,  0.755782
 0.556,  0.755413
 0.557,  0.755045
 0.558,  0.754677
 0.559,  0.754309
 0.560,  0.753941
 0.561,  0.753574
 0.562,  0.753207
 0.563,  0.752840
 0.564,  0.752473
 0.565,  0.752106
 0.566,  0.751740
 0.567,  0.751374
 0.568,  0.751008
 0.569,  0.750642
 0.570,  0.750277
 0.571,  0.749912
 0.572,  0.749547
 0.573,  0.749182
 0.574,  0.748817
 0.575,  0.748453
 0.576,  0.748089
 0.577,  0.747725
 0.578,  0.747362
 0.579,  0.746998
 0.580,  0.746635
 0.581,  0.746272
 0.582,  0.745909
 0.583,  0.745547
 0.584,  0.745184
 0.585,  0.744822
 0.586,  0.744460
 0.587,  0.744099
 0.588,  0.743737
 0.589,  0.743376
 0.590,  0.743015
 0.591,  0.742654
 0.592,  0.742294
 0.593,  0.741933
 0.594,  0.741573
 0.595,  0.741213
 0.596,  0.740854
 0.597,  0.740494
 0.598,  0.740135
 0.599,  0.739776
 0.600,  0.739417
 0.601,  0.739058
 0.602,  0.738700
 0.603,  0.738342
 0.604,  0.737984
 0.605,  0.737626
 0.606,  0.737269
 0.607,  0.736911
 0.608,  0.736554
 0.609,  0.736198
 0.610,  0.735841
 0.611,  0.735484
 0.612,  0.735128
 0.613,  0.734772
 0.614,  0.734417
 0.615,  0.734061
 0.616,  0.733706
 0.617,  0.733350
 0.618,  0.732996
 0.619,  0.732641
 0.620,  0.732286
 0.621,  0.731932
 0.622,  0.731578
 0.623,  0.731224
 0.624,  0.730871
 0.625,  0.730517
 0.626,  0.730164
 0.627,  0.729811
 0.628,  0.729458
 0.629,  0.729106
 0.630,  0.728753
 0.631,  0.728401
 0.632,  0.728049
 0.633,  0.727698
 0.634,  0.727346
 0.635,  0.726995
 0.636,  0.726644
 0.637,  0.726293
 0.638,  0.725942
 0.639,  0.725592
 0.640,  0.725242
 0.641,  0.724892
 0.642,  0.724542
 0.643,  0.724192
 0.644,  0.723843
 0.645,  0.723494
 0.646,  0.723145
 0.647,  0.722796
 0.648,  0.722448
 0.649,  0.722099
 0.650,  0.721751
 0.651,  0.721403
 0.652,  0.721056
 0.653,  0.720708
 0.654,  0.720361
 0.655,  0.720014
 0.656,  0.719667
 0.657,  0.719320
 0.658,  0.718974
 0.659,  0.718628
 0.660,  0.718282
 0.661,  0.717936
 0.662,  0.717590
 0.663,  0.717245
 0.664,  0.716900
 0.665,  0.716555
 0.666,  0.716210
 0.667,  0.715866
 0.668,  0.715521
 0.669,  0.715177
 0.670,  0.714833
 0.671,  0.714489
 0.672,  0.714146
 0.673,  0.713803
 0.674,  0.713460
 0.675,  0.713117
 0.676,  0.712774
 0.677,  0.712432
 0.678,  0.712089
 0.679,  0.711747
 0.680,  0.711405
 0.681,  0.711064
 0.682,  0.710722
 0.683,  0.710381
 0.684,  0.710040
 0.685,  0.709699
 0.686,  0.709359
 0.687,  0.709018
 0.688,  0.708678
 0.689,  0.708338
 0.690,  0.707998
 0.691,  0.707659
 0.692,  0.707319
 0.693,  0.706980
 0.694,  0.706641
 0.695,  0.706302
 0.696,  0.705964
 0.697,  0.705625
 0.698,  0.705287
 0.699,  0.704949
 0.700,  0.704611
 0.701,  0.704274
 0.702,  0.703937
 0.703,  0.703599
 0.704,  0.703262
 0.705,  0.702926
 0.706,  0.702589
 0.707,  0.702253
 0.708,  0.701917
 0.709,  0.701581
 0.710,  0.701245
 0.711,  0.700910
 0.712,  0.700574
 0.713,  0.700239
 0.714,  0.699904
 0.715,  0.699569
 0.716,  0.699235
 0.717,  0.698901
 0.718,  0.698567
 0.719,  0.698233
 0.720,  0.697899
 0.721,  0.697565
 0.722,  0.697232
 0.723,  0.696899
 0.724,  0.696566
 0.725,  0.696233
 0.726,  0.695901
 0.727,  0.695569
 0.728,  0.695236
 0.729,  0.694904
 0.730,  0.694573
 0.731,  0.694241
 0.732,  0.693910
 0.733,  0.693579
 0.734,  0.693248
 0.735,  0.692917
 0.736,  0.692587
 0.737,  0.692256
 0.738,  0.691926
 0.739,  0.691596
 0.740,  0.691267
 0.741,  0.690937
 0.742,  0.690608
 0.743,  0.690279
 0.744,  0.689950
 0.745,  0.689621
 0.746,  0.689292
 0.747,  0.688964
 0.748,  0.688636
 0.749,  0.688308
 0.750,  0.687980
 0.751,  0.687653
 0.752,  0.687325
 0.753,  0.686998
 0.754,  0.686671
 0.755,  0.686344
 0.756,  0.686018
 0.757,  0.685691
 0.758,  0.685365
 0.759,  0.685039
 0.760,  0.684713
 0.761,  0.684388
 0.762,  0.684062
 0.763,  0.683737
 0.764,  0.683412
 0.765,  0.683087
 0.766,  0.682763
 0.767,  0.682438
 0.768,  0.682114
 0.769,  0.681790
 0.770,  0.681466
 0.771,  0.681142
 0.772,  0.680819
 0.773,  0.680496
 0.774,  0.680173
 0.775,  0.679850
 0.776,  0.679527
 0.777,  0.679204
 0.778,  0.678882
 0.779,  0.678560
 0.780,  0.678238
 0.781,  0.677916
 0.782,  0.677595
 0.783,  0.677274
 0.784,  0.676952
 0.785,  0.676631
 0.786,  0.676311
 0.787,  0.675990
 0.788,  0.675670
 0.789,  0.675349
 0.790,  0.675029
 0.791,  0.674710
 0.792,  0.674390
 0.793,  0.674071
 0.794,  0.673751
 0.795,  0.673432
